epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3118.76,0.23273,0.29285,0.19697,0.86242,0.99827,0.25195,0.2717,0.2673,0.99827,0.25195,0.28785,0.27363,0.19785,0.54546,0.17168,0.80379,0.0008912,0.0008912,0.0008912
58,3226.82,0.23531,0.28787,0.19739,0.86292,0.9998,0.25195,0.26765,0.266,0.9998,0.25195,0.28156,0.27107,0.18653,0.5102,0.17193,0.78834,0.0008714,0.0008714,0.0008714
59,3333.14,0.23098,0.28337,0.19671,0.85881,0.99981,0.25195,0.27821,0.27515,0.99981,0.25195,0.2931,0.28119,0.18005,0.5245,0.15898,0.78359,0.0008516,0.0008516,0.0008516
60,3441.08,0.23178,0.30051,0.19308,0.85599,0.99983,0.25195,0.27105,0.26821,0.99983,0.25195,0.28586,0.27395,0.17435,0.5399,0.15711,0.77956,0.0008318,0.0008318,0.0008318
61,3547.63,0.22833,0.30017,0.19232,0.85898,0.99746,0.25195,0.26986,0.26735,0.99746,0.25195,0.27991,0.27184,0.17746,0.5818,0.16306,0.78457,0.000812,0.000812,0.000812
62,3654.08,0.22904,0.28964,0.1906,0.85684,0.99759,0.25195,0.26986,0.26565,0.99759,0.25195,0.28658,0.27287,0.18233,0.53789,0.16077,0.79273,0.0007922,0.0007922,0.0007922
63,3763.5,0.22819,0.28798,0.19591,0.85593,0.99983,0.25195,0.28181,0.27904,0.99983,0.25195,0.2944,0.28458,0.17897,0.55951,0.1621,0.78218,0.0007724,0.0007724,0.0007724
64,3873.99,0.22664,0.28343,0.19194,0.85502,0.9998,0.25195,0.27054,0.26712,0.9998,0.25195,0.28334,0.27232,0.17616,0.55987,0.16383,0.78322,0.0007526,0.0007526,0.0007526
65,3981.24,0.22694,0.29023,0.19067,0.85997,0.99982,0.25195,0.26854,0.26527,0.99982,0.25195,0.28688,0.27253,0.17991,0.53615,0.16078,0.78463,0.0007328,0.0007328,0.0007328
66,4088.54,0.22661,0.28948,0.19004,0.85299,0.99981,0.25195,0.26752,0.26484,0.99981,0.25195,0.28437,0.27139,0.18173,0.56801,0.15762,0.7833,0.000713,0.000713,0.000713
67,4200.5,0.2235,0.27778,0.18754,0.85652,0.99982,0.25195,0.27198,0.2687,0.99982,0.25195,0.2883,0.27369,0.17296,0.50163,0.15214,0.78365,0.0006932,0.0006932,0.0006932
68,4311.13,0.22548,0.2835,0.18793,0.85603,0.99984,0.25195,0.26849,0.265,0.99984,0.25195,0.28319,0.27085,0.18362,0.60481,0.15763,0.79381,0.0006734,0.0006734,0.0006734
69,4420.05,0.22281,0.28115,0.18461,0.85991,0.99983,0.25195,0.27011,0.26722,0.99983,0.25195,0.2877,0.27356,0.1748,0.51256,0.15051,0.78437,0.0006536,0.0006536,0.0006536
70,4526.5,0.21683,0.27444,0.18195,0.85337,0.99984,0.25195,0.26861,0.26594,0.99984,0.25195,0.28414,0.27311,0.17909,0.57454,0.15499,0.7842,0.0006338,0.0006338,0.0006338
71,4637.68,0.21791,0.27306,0.18327,0.85307,0.99982,0.25195,0.2792,0.2768,0.99982,0.25195,0.29962,0.28575,0.17604,0.57498,0.1541,0.78317,0.000614,0.000614,0.000614
72,4745.77,0.21663,0.28389,0.18027,0.85337,0.99975,0.25195,0.27209,0.26873,0.99975,0.25195,0.28979,0.27761,0.17454,0.52864,0.15776,0.77921,0.0005942,0.0005942,0.0005942
73,4851.87,0.21386,0.26815,0.18376,0.85475,0.99972,0.25195,0.27598,0.27261,0.99972,0.25195,0.29812,0.28085,0.17746,0.54583,0.15966,0.77788,0.0005744,0.0005744,0.0005744
